,Model_type,mape,mse,me,mae,mpe,rmse,R2 score,Adj R2 score,AIC,BIC
327,huberRegressor_OutliersRemoved_extra_features_shuffled_rscv_model,13.744813516102225,0.0054180102275084695,-0.005733640384563271,0.050283590274536404,0.015955787347957898,0.07360713435196665,0.3202003374813517,0.25991229401639515,-1804.8355132040056,-1692.3811755323961
604,XGBoost_grid__1_AutoML_20201106_170326_model_12Outlier_removed_full_lag,13.76638712010515,0.0053547401083839175,-0.004006336225475221,0.050690660834861366,0.021502514680042058,0.07317608973144109,0.3430274427322143,-0.03522948417954108,-1642.8671847028168,-1124.1808366763453
229,adaBoost_Outliers_Removed_crosscv_model,13.852528859423794,0.004794178652172755,0.0011732206821709625,0.04953850413753558,4.01060012536386,0.06885290013606878,0.3733062730287259,,,
608,GBM_grid__1_AutoML_20201106_170326_model_8Outlier_removed_full_lag,13.865678955600016,0.005448929397557579,-0.0109796223772807,0.0522360141189118,0.008440001184896469,0.07381686391033948,0.3314713677550609,-0.053439056870813184,-1636.502687602983,-1117.8163395765118
318,lassoRegressor_OutliersRemoved_extra_features_shuffled_rscv_model,13.886446554557455,0.005049894621155386,-0.00422192266710381,0.05029279449059497,0.022443793553310457,0.07106261057092812,0.3663879330115565,0.3101960371624285,-1829.9544813747602,-1717.5001437031508
324,elastic_net_OutliersRemoved_extra_features_shuffled_rscv_model,13.898258116318573,0.005048170205963778,-0.004224536849776523,0.0503381665746318,0.02238116810396012,0.07105047646542406,0.36660429599650346,0.3104315883020038,-1830.0764089400764,-1717.622071268467
289,adaBoost_Outliers_Removed_shuffled_crosscv_model,13.917584126223867,0.004873086017790953,0.0002810847579691654,0.04979520273934847,3.822424143833061,0.06945217592840273,0.361505757078039,,,
609,GBM_grid__1_AutoML_20201106_170326_model_16Outlier_removed_full_lag,13.937200926046625,0.005523994708271184,-0.0117716598848385,0.05268118202202864,0.006183538859872649,0.07432358110499779,0.3222616118857883,-0.06795139945269724,-1631.5087105065857,-1112.8223624801144
605,GBM_5_AutoML_20201106_170326Outlier_removed_full_lag,13.961404529887478,0.005428008032886215,-0.006090481966847011,0.05188418626518229,0.020816397197367408,0.07367501634126873,0.33403820800715034,-0.04939433889782374,-1637.906815846111,-1119.2204678196395
603,XGBoost_grid__1_AutoML_20201106_170326_model_7Outlier_removed_full_lag,13.962427775839329,0.005351199543892517,-0.0061891288629213745,0.05167812038960026,0.01806017430803884,0.07315189364529477,0.3434618342546796,-0.034544988447171576,-1643.1086032290643,-1124.422255202593
